split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
-8.678285871233259,-12.393428257533483,-13.439286368233818,-20.045142037527903,-12.082285744803292,-18.794713156563894,-15.494000026157924,-8.714285714285714,-14.217575953556942,-12.457923008845402,-13.63595265927522,3.5687920697008098,1,2.1066881895065306,0.4606885484936288,0.8867090463638305,0.21303287685872843,mae,6356,sqrt,7950,0.3829216751759523,0.6623889600853612,0.15395436660450798,1.0,0.4742663107230238,1000,"{'criterion': 'mae', 'max_depth': 6356, 'max_features': 'sqrt', 'max_leaf_nodes': 7950, 'max_samples': 0.3829216751759523, 'min_impurity_decrease': 0.6623889600853612, 'min_samples_leaf': 0.15395436660450798, 'min_samples_split': 1.0, 'min_weight_fraction_leaf': 0.4742663107230238, 'n_estimators': 1000}"
-8.613232203892299,-13.027386256626674,-12.586208071027484,-19.55859157017299,-12.09868322099958,-18.498288563319615,-14.83212661743164,-8.68462780543736,-13.529883458064152,-12.194257002610426,-13.369578596474469,3.415215134212833,1,2.493166184425354,0.5405233623891015,0.7600527048110962,0.15173566682190187,mae,833,sqrt,3405,0.8691743504548366,0.0,0.19645214260794655,0.32667364457151565,0.04875978910974965,1085,"{'criterion': 'mae', 'max_depth': 833, 'max_features': 'sqrt', 'max_leaf_nodes': 3405, 'max_samples': 0.8691743504548366, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 0.19645214260794655, 'min_samples_split': 0.32667364457151565, 'min_weight_fraction_leaf': 0.04875978910974965, 'n_estimators': 1085}"
-8.696785518101283,-12.392571585518974,-13.525928769792829,-20.175071171351842,-12.071428571428571,-18.59035655430385,-15.556141444614955,-8.714285714285714,-14.151077563946064,-12.449384542611929,-13.637115782585697,3.5634977977566735,1,2.424229311943054,0.4680170277886902,1.1363183736801148,0.3065673403087476,mae,2,sqrt,1416,0.9999999,0.0,0.34495820482690803,1e-07,0.0,1000,"{'criterion': 'mae', 'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 1416, 'max_samples': 0.9999999, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 0.34495820482690803, 'min_samples_split': 1e-07, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 1000}"
-8.64557157244001,-13.087000165666852,-12.42274992806571,-19.449642998831614,-12.137892859322685,-18.519178118024552,-14.702821186610631,-8.645892551967076,-13.528153933011568,-12.103077228252705,-13.331568814706111,3.39904387321586,1,2.135629725456238,0.40552246179893076,0.8376171827316284,0.20699206453464644,mae,2,sqrt,2297,0.971947277521116,0.0,0.18942015825714542,0.21789040409109603,0.0,1000,"{'criterion': 'mae', 'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 2297, 'max_samples': 0.971947277521116, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 0.18942015825714542, 'min_samples_split': 0.21789040409109603, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 1000}"
-8.609606879098076,-13.04739270891462,-12.371499742780413,-19.51142910548619,-12.114036015101842,-18.16764259338379,-14.817750113351005,-8.652356828962054,-13.59453876201923,-12.120538271390474,-13.307101429372594,3.3690577286865047,1,2.169180464744568,0.3968207196188299,0.7275844812393188,0.1560671180788204,mae,2,sqrt,10,0.9999999,0.0,0.1840822320157959,1e-07,0.0,1000,"{'criterion': 'mae', 'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'max_samples': 0.9999999, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 0.1840822320157959, 'min_samples_split': 1e-07, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 1000}"
-8.746935708182198,-12.230599539620536,-13.219986506870814,-20.04254368373326,-12.071428571428571,-19.46281542096819,-15.990415300641741,-8.714285714285714,-13.93520736694336,-12.436528719388521,-13.692309531612672,3.695949803230814,1,43.12552495002747,9.886651054006103,17.111500239372255,4.292958182840172,mae,10000,log2,6498,0.1,0.8359089292170386,0.17785446199221902,1e-07,0.09764027791060588,20000,"{'criterion': 'mae', 'max_depth': 10000, 'max_features': 'log2', 'max_leaf_nodes': 6498, 'max_samples': 0.1, 'min_impurity_decrease': 0.8359089292170386, 'min_samples_leaf': 0.17785446199221902, 'min_samples_split': 1e-07, 'min_weight_fraction_leaf': 0.09764027791060588, 'n_estimators': 20000}"
-10.457932880946569,-14.217734473092216,-12.411410467965263,-18.147862025669642,-12.738726207188197,-18.516772951398575,-13.266581671578544,-9.42301641191755,-12.789036090557392,-11.218464778019833,-13.33781181556591,2.8492845992132656,1,14.349551010131837,3.1787973068102975,4.83006649017334,0.9874715885337337,mae,9292,auto,516,0.9999999,0.06329378278874687,0.14325439398540185,1e-07,0.17125569488400857,6358,"{'criterion': 'mae', 'max_depth': 9292, 'max_features': 'auto', 'max_leaf_nodes': 516, 'max_samples': 0.9999999, 'min_impurity_decrease': 0.06329378278874687, 'min_samples_leaf': 0.14325439398540185, 'min_samples_split': 1e-07, 'min_weight_fraction_leaf': 0.17125569488400857, 'n_estimators': 6358}"
-8.531641278948102,-12.804170608520508,-13.04178237915039,-19.99873651776995,-12.143600191388812,-18.675559725080216,-15.40138680594308,-8.759157180786133,-13.950572967529297,-12.324234008789062,-13.569253451582314,3.5432734799610426,1,39.05163004398346,9.08270040172048,17.107827925682066,4.1486628932030145,mae,10000,log2,8709,0.9999999,0.9825111569976785,0.1718936126164981,1e-07,0.15242194359220934,16057,"{'criterion': 'mae', 'max_depth': 10000, 'max_features': 'log2', 'max_leaf_nodes': 8709, 'max_samples': 0.9999999, 'min_impurity_decrease': 0.9825111569976785, 'min_samples_leaf': 0.1718936126164981, 'min_samples_split': 1e-07, 'min_weight_fraction_leaf': 0.15242194359220934, 'n_estimators': 16057}"
-8.677767889840263,-12.484438487461635,-13.480986186436244,-20.199608939034597,-12.085434777396065,-18.692301886422293,-15.534036636352539,-8.718961443219866,-14.207640427809496,-12.453251471886269,-13.658123928567637,3.5804235986173554,1,26.03552312850952,6.045088270352743,9.192816042900086,2.087581723876168,mae,6477,auto,10000,0.9999999,0.7075585124540342,0.1741898674270072,1e-07,0.5,10220,"{'criterion': 'mae', 'max_depth': 6477, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'max_samples': 0.9999999, 'min_impurity_decrease': 0.7075585124540342, 'min_samples_leaf': 0.1741898674270072, 'min_samples_split': 1e-07, 'min_weight_fraction_leaf': 0.5, 'n_estimators': 10220}"
-8.686999729701451,-12.421142578125,-13.471427917480469,-20.198856898716517,-12.071428571428571,-18.70600128173828,-15.565999712262835,-8.726714542933873,-14.207615778996395,-12.463500096247746,-13.656554374141969,3.584080453841879,1,2.668603801727295,0.5393073287573117,1.085216474533081,0.27682292979577344,mae,2,sqrt,10,0.9117060244185364,0.06325216853281479,0.17269586534585035,1.0,0.0,1000,"{'criterion': 'mae', 'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'max_samples': 0.9117060244185364, 'min_impurity_decrease': 0.06325216853281479, 'min_samples_leaf': 0.17269586534585035, 'min_samples_split': 1.0, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 1000}"
