split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
-11.78875,-12.33796875,-12.7321875,-23.511250000000004,-9.5853125,-11.251774193548387,-10.774354838709675,-12.494516129032256,-11.00225806451613,-7.865322580645161,-12.360666666666667,4.00018126665213,1,0.5006984233856201,0.06405105228070308,0.10566575527191162,0.0017903507737594645,False,mae,8832,auto,10,12,2,0.0,100,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 8832, 'max_features': 'auto', 'max_leaf_nodes': 10, 'min_samples_leaf': 12, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100}"
-11.6999862444978,-12.380864845938376,-12.733709108643456,-23.19288027711084,-9.31206857743097,-11.109624494959276,-10.755014909189484,-12.354929068401555,-11.118631323497139,-7.971853257432005,-12.28836804563095,3.920782491095038,1,25.15021405220032,4.521993332151242,1.5915516138076782,0.1950501438736506,False,mae,10000,auto,10000,12,2,0.0,4998,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 10000, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 12, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 4998}"
-11.510493207160511,-12.08080957645495,-12.031993671000144,-21.773189208112417,-10.847807157220133,-11.737634383135536,-9.987269636003262,-12.142977114717423,-11.687596902635239,-8.508350206428696,-12.253320780218623,3.378729512122732,1,9.623594379425048,1.595521875022257,1.0466778755187989,0.10442920594535292,False,mse,7165,auto,7262,13,2,0.0,3542,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 7165, 'max_features': 'auto', 'max_leaf_nodes': 7262, 'min_samples_leaf': 13, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 3542}"
-11.52139940127288,-12.089385388675325,-12.016152403026574,-21.82773662597649,-10.74833181095213,-11.836590137369562,-10.021848046962887,-12.10919465611039,-11.441567931884569,-8.561202677711721,-12.239932340025783,3.394229522268005,1,8.83948655128479,1.3959493328707133,1.049104928970337,0.12375126239930485,False,mse,8682,auto,10000,14,2,0.0,3308,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 8682, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 14, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 3308}"
-11.68466671994885,-12.44830962276215,-12.671531329923273,-23.298577365728896,-9.316815856777493,-11.30343206006105,-10.820410857190003,-12.414247999339985,-11.010832439567693,-7.99509941423975,-12.321592173101124,3.9432256933150147,1,18.69460024833679,3.3480821024637537,1.241580104827881,0.14571505064670567,False,mae,7756,auto,7276,14,2,0.0,3910,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 7756, 'max_features': 'auto', 'max_leaf_nodes': 7276, 'min_samples_leaf': 14, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 3910}"
-11.502031250000002,-13.02078125,-12.41359375,-25.18125,-10.190000000000001,-13.366612903225807,-12.333709677419355,-13.255806451612901,-11.452741935483871,-8.981774193548388,-13.190333333333333,4.2415330179742705,1,0.34901292324066163,0.05544272746823116,0.10426900386810303,0.0012870044406646322,False,mae,2,log2,10000,6,2,0.0,100,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 2, 'max_features': 'log2', 'max_leaf_nodes': 10000, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100}"
-11.936250000000001,-12.94921875,-11.915937500000002,-24.43234375,-9.681875,-12.169838709677423,-11.608870967741936,-12.727580645161291,-10.866129032258065,-8.286774193548387,-12.681698412698411,4.174798307515833,1,0.487180495262146,0.04825450793874138,0.10700538158416747,0.0032189588530924865,False,mae,9804,auto,10000,4,2,0.09938135971166129,100,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 9804, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.09938135971166129, 'n_estimators': 100}"
-11.25212745839637,-13.414948940998487,-12.942180408472012,-25.724375945537066,-10.59999054462935,-14.363305841588993,-12.737165096871799,-13.66033868527646,-11.653555219364598,-10.740264018349517,-13.725934730927165,4.212825264972732,1,4.611799740791321,0.6464458601587765,0.4814994096755981,0.04951461969617352,True,mae,4898,sqrt,10000,3,100,0.5,1322,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 4898, 'max_features': 'sqrt', 'max_leaf_nodes': 10000, 'min_samples_leaf': 3, 'min_samples_split': 100, 'min_weight_fraction_leaf': 0.5, 'n_estimators': 1322}"
-11.330986881935006,-12.294335737300315,-11.507470039247583,-22.86543748969438,-11.466499372321792,-13.56428141600008,-10.899894287902256,-12.802445014403448,-11.735462111355671,-9.447653075635822,-12.80893065942916,3.5380650038242942,1,5.140533351898194,0.6960128653302946,0.7525536775588989,0.08104202392099316,False,mse,2,auto,10000,12,2,0.0,2308,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 2, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 12, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 2308}"
-11.644071629899697,-11.913339017689125,-12.183546816708523,-21.610721871958194,-10.323816671671494,-11.343999084980897,-9.949212521711633,-12.44567441207543,-11.766535929600268,-8.825210795709008,-12.221795197841459,3.333103601048661,1,9.133090543746949,1.4934937620949431,0.9777477979660034,0.11521512528263762,False,mse,9770,auto,10000,9,2,0.0,3047,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 9770, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 9, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 3047}"
