Date	Day	1st Drop	2nd Drop	Total number of people fed
05/05/19	Sun	25	15	40
09/05/19	Thu	50	17	67
16/05/19	Thu	38	25	63
18/05/19	Sat	45	25	70
18/05/19	Sat	40	20	60
20/05/19	Mon	40	25	65
26/05/19	Sun	50	20	70
27/05/19	Mon	50	15	65
30/05/19	Thu	45	35	80
01/06/19	Sat	16	20	36
01/06/19	Sat	15	10	25
02/06/19	Sun	30	28	58
03/06/19	Mon	60	20	80
10/06/19	Mon	17	15	32
13/06/19	Thu	35	15	50
15/06/19	Sat	25	17	42
17/06/19	Mon	45	40	85
23/06/19	Sun	30	20	50
24/06/19	Mon	30	15	45
27/06/19	Thu	35	20	55
29/06/19	Sat	35	18	53
07/07/19	Sun	40	20	60
12/07/19	Fri	25	15	40
14/07/19	Sun	21	18	39
15/07/19	Mon	40	30	70
19/07/19	Fri	30	15	45
22/07/19	Mon	58	25	83
27/07/19	Sat	45	18	63
27/07/19	Sat	25	25	50
01/08/19	Thu	26	12	38
02/08/19	Fri	27	15	42
03/08/19	Sat	20	25	45
04/08/19	Sun	47	30	77
08/08/19	Thu	30	17	47
08/08/19	Thu	48	32	80
10/08/19	Sat	24	14	38
12/08/19	Mon	48	18	66
16/08/19	Fri	30	15	45
18/08/19	Sun	50	15	65
19/08/19	Mon	45	20	65
23/08/19	Fri	40	25	65
24/08/19	Sat	18	15	33
01/09/19	Sun	50	12	62
05/09/19	Thu	35	17	52
06/09/19	Fri	45	25	70
09/09/19	Mon	60	20	80
12/09/19	Thu	30	10	40
13/09/19	Fri	25	20	45
14/09/19	Sat	30	15	45
21/09/19	Sat	23	15	38
03/10/19	Thu	28	20	48
05/10/19	Sat	50	25	75
07/10/19	Mon	35	25	60
09/10/19	Wed	25	15	40
11/10/19	Fri	35	15	50
12/10/19	Sat	22	10	32
16/10/19	Wed	35	25	60
19/10/19	Sat	18	13	31
31/10/19	Thu	23	16	39
04/11/19	Mon	25	15	40
08/11/19	Fri	20	8	28
11/11/19	Mon	28	8	36
11/11/19	Mon	28	8	36
11/11/19	Mon	20	12	32
15/11/19	Fri	35	14	49
16/11/19	Sat	18	14	32
27/11/19	Wed	27	19	46
28/11/19	Thu	25	15	40
30/11/19	Sat	18	13	31
30/11/19	Sat	18	13	31
01/12/19	Sun	60	20	80
01/12/19	Sun	15	15	30
02/12/19	Mon	40	15	55
07/12/19	Sat	42	22	64
09/12/19	Mon	27	9	36
13/12/19	Fri	40	8	48
14/12/19	Sat	25	14	39
23/12/19	Mon	30	9	39
23/12/19	Mon	23	7	30
24/12/19	Tue	20	8	28
25/12/19	Wed	6	3	9
26/12/19	Thu	7	8	15
28/12/19	Sat	17	7	24
30/12/19	Mon	30	11	41
03/01/20	Fri	20	15	35
04/01/20	Sat	25	15	40
05/01/20	Sun	30	16	46
06/01/20	Mon	30	21	51
09/01/20	Thu	25	15	40
10/01/20	Fri	25	15	40
11/01/20	Sat	27	25	52
19/01/20	Sun	15	12	27
22/01/20	Wed	30	18	48
22/01/20	Wed	30	18	48
23/01/20	Thu	25	15	40
25/01/20	Sat	30	15	45
27/01/20	Mon	30	12	42
02/02/20	Sun	25	20	45
03/02/20	Mon	30	9	39
07/02/20	Fri	40	15	55
08/02/20	Sat	30	15	45
20/02/20	Thu	20	15	35
22/02/20	Sat	33	18	51
24/02/20	Mon	20	15	35
28/02/20	Fri	20	15	35
29/02/20	Sat	20	15	35
01/03/20	Sun	18	12	30
02/03/20	Mon	19	13	32
06/03/20	Fri	25	15	40
07/03/20	Sat	30	16	46
09/03/20	Mon	25	10	35
09/03/20	Mon	25	10	35
13/03/20	Fri	20	10	30
16/03/20	Mon	25	10	35
18/03/20	Wed	32	19	51
18/03/20	Wed	32	19	51
19/03/20	Thu	15	15	30
20/03/20	Fri	28	18	46
22/03/20	Sun	23	13	36
23/03/20	Mon	35	11	46
25/03/20	Wed	25	15	40
27/03/20	Fri	22	12	34
30/03/20	Mon	35	15	50
30/03/20	Mon	35	15	50
01/04/20	Wed	30	12	42
02/04/20	Thu	50	15	65
03/04/20	Fri	55	20	75
04/04/20	Sat	18	13	31
05/04/20	Sun	29	12	41
06/04/20	Mon	40	10	50
07/04/20	Tue	38	17	55
09/04/20	Thu	35	12	47
10/04/20	Fri	30	10	40
12/04/20	Sun	50	20	70
12/04/20	Sun	25	15	40
13/04/20	Mon	25	15	40
13/04/20	Mon	40	8	48
14/04/20	Tue	36	18	54
15/04/20	Wed	38	18	56
15/04/20	Wed	38	18	56
16/04/20	Thu	15	25	40
17/04/20	Fri	17	23	40
18/04/20	Sat	30	25	55
19/04/20	Sun	30	20	50
20/04/20	Mon	20	25	45
21/04/20	Tue	31	16	47
22/04/20	Wed	33	20	53
25/04/20	Sat	30	18	48
26/04/20	Sun	25	20	45
26/04/20	Sun	25	15	40
27/04/20	Mon	50	15	65
28/04/20	Tue	27	15	42
30/04/20	Thu	20	12	32
01/05/20	Fri	28	20	48
01/05/20	Fri	25	15	40
02/05/20	Sat	20	20	40
03/05/20	Sun	20	10	30
04/05/20	Mon	35	17	52
05/05/20	Tue	23	17	40
07/05/20	Thu	25	25	50
08/05/20	Fri	30	20	50
10/05/20	Sun	20	12	32
12/05/20	Tue	29	17	46
13/05/20	Wed	32	22	54
14/05/20	Thu	20	18	38
15/05/20	Fri	22	20	42
16/05/20	Sat	36	30	66
17/05/20	Sun	30	20	50
18/05/20	Mon	45	15	60
19/05/20	Tue	29	22	51
21/05/20	Thu	35	15	50
22/05/20	Fri	25	17	42
23/05/20	Sat	30	20	50
26/05/20	Tue	12	15	27
28/05/20	Thu	28	26	54
29/05/20	Fri	30	20	50
31/05/20	Sun	30	15	45
01/06/20	Mon	35	25	60
02/06/20	Tue	23	25	48
03/06/20	Wed	22	18	40
04/06/20	Thu	30	25	55
06/06/20	Sat	25	15	40
07/06/20	Sun	20	12	32
07/06/20	Sun	29	16	45
09/06/20	Tue	27	12	39
10/06/20	Wed	40	28	68
11/06/20	Thu	25	15	40
12/06/20	Fri	27	22	49
