date,fst,snd,total
2019-08-10,24.0,14.0,38.0
2019-08-12,48.0,18.0,66.0
2019-08-16,30.0,15.0,45.0
2019-08-18,50.0,15.0,65.0
2019-08-19,45.0,20.0,65.0
2019-08-23,40.0,25.0,65.0
2019-08-24,18.0,15.0,33.0
2019-09-01,50.0,12.0,62.0
2019-09-05,35.0,17.0,52.0
2019-09-06,45.0,25.0,70.0
2019-09-09,60.0,20.0,80.0
2019-09-12,30.0,10.0,40.0
2019-09-13,25.0,20.0,45.0
2019-09-14,30.0,15.0,45.0
2019-09-21,23.0,15.0,38.0
2019-10-03,28.0,20.0,48.0
2019-10-05,50.0,25.0,75.0
2019-10-07,35.0,25.0,60.0
2019-10-09,25.0,15.0,40.0
2019-10-11,35.0,15.0,50.0
2019-10-12,22.0,10.0,32.0
2019-10-16,35.0,25.0,60.0
2019-10-19,18.0,13.0,31.0
2019-10-31,23.0,16.0,39.0
2019-11-04,25.0,15.0,40.0
2019-11-08,20.0,8.0,28.0
2019-11-11,24.0,10.0,34.0
2019-11-15,35.0,14.0,49.0
2019-11-16,18.0,14.0,32.0
2019-11-27,27.0,19.0,46.0
2019-11-28,25.0,15.0,40.0
2019-11-30,18.0,13.0,31.0
2019-12-01,37.5,17.5,55.0
2019-12-02,40.0,15.0,55.0
2019-12-07,42.0,22.0,64.0
2019-12-09,27.0,9.0,36.0
2019-12-13,40.0,8.0,48.0
2019-12-14,25.0,14.0,39.0
2019-12-23,26.5,8.0,34.5
2019-12-24,20.0,8.0,28.0
2019-12-25,6.0,3.0,9.0
2019-12-26,7.0,8.0,15.0
2019-12-28,17.0,7.0,24.0
2019-12-30,30.0,11.0,41.0
2020-01-03,20.0,15.0,35.0
2020-01-04,25.0,15.0,40.0
2020-01-05,30.0,16.0,46.0
2020-01-06,30.0,21.0,51.0
2020-01-09,25.0,15.0,40.0
2020-01-10,25.0,15.0,40.0
2020-01-11,27.0,25.0,52.0
2020-01-19,15.0,12.0,27.0
2020-01-22,30.0,18.0,48.0
2020-01-23,25.0,15.0,40.0
2020-01-25,30.0,15.0,45.0
2020-01-27,30.0,12.0,42.0
2020-02-02,25.0,20.0,45.0
2020-02-03,30.0,9.0,39.0
2020-02-07,40.0,15.0,55.0
2020-02-08,30.0,15.0,45.0
2020-02-20,20.0,15.0,35.0
2020-02-22,33.0,18.0,51.0
2020-02-24,20.0,15.0,35.0
2020-03-01,18.0,12.0,30.0
2020-03-02,19.0,13.0,32.0
2020-03-06,25.0,15.0,40.0
2020-03-07,30.0,16.0,46.0
2020-05-01,25.0,15.0,40.0
2020-09-03,25.0,10.0,35.0
